,silabas
0,a
1,am
2,an
3,ans
4,ar
5,al
6,az
7,as
8,ax
9,e
10,em
11,en
12,ens
13,er
14,el
15,ez
16,es
17,ex
18,i
19,im
20,in
21,ins
22,ir
23,il
24,iz
25,is
26,ix
27,o
28,om
29,on
30,ons
31,or
32,ol
33,oz
34,os
35,ox
36,u
37,um
38,un
39,uns
40,ur
41,ul
42,uz
43,us
44,ux
45,ba
46,bam
47,ban
48,bans
49,bar
50,bal
51,baz
52,bas
53,bax
54,be
55,bem
56,ben
57,bens
58,ber
59,bel
60,bez
61,bes
62,bex
63,bi
64,bim
65,bin
66,bins
67,bir
68,bil
69,biz
70,bis
71,bix
72,bo
73,bom
74,bon
75,bons
76,bor
77,bol
78,boz
79,bos
80,box
81,bu
82,bum
83,bun
84,buns
85,bur
86,bul
87,buz
88,bus
89,bux
90,ca
91,cam
92,can
93,cans
94,car
95,cal
96,caz
97,cas
98,cax
99,ce
100,cem
101,cen
102,cens
103,cer
104,cel
105,cez
106,ces
107,cex
108,ci
109,cim
110,cin
111,cins
112,cir
113,cil
114,ciz
115,cis
116,cix
117,co
118,com
119,con
120,cons
121,cor
122,col
123,coz
124,cos
125,cox
126,cu
127,cum
128,cun
129,cuns
130,cur
131,cul
132,cuz
133,cus
134,cux
135,da
136,dam
137,dan
138,dans
139,dar
140,dal
141,daz
142,das
143,dax
144,de
145,dem
146,den
147,dens
148,der
149,del
150,dez
151,des
152,dex
153,di
154,dim
155,din
156,dins
157,dir
158,dil
159,diz
160,dis
161,dix
162,do
163,dom
164,don
165,dons
166,dor
167,dol
168,doz
169,dos
170,dox
171,du
172,dum
173,dun
174,duns
175,dur
176,dul
177,duz
178,dus
179,dux
180,fa
181,fam
182,fan
183,fans
184,far
185,fal
186,faz
187,fas
188,fax
189,fe
190,fem
191,fen
192,fens
193,fer
194,fel
195,fez
196,fes
197,fex
198,fi
199,fim
200,fin
201,fins
202,fir
203,fil
204,fiz
205,fis
206,fix
207,fo
208,fom
209,fon
210,fons
211,for
212,fol
213,foz
214,fos
215,fox
216,fu
217,fum
218,fun
219,funs
220,fur
221,ful
222,fuz
223,fus
224,fux
225,ga
226,gam
227,gan
228,gans
229,gar
230,gal
231,gaz
232,gas
233,gax
234,ge
235,gem
236,gen
237,gens
238,ger
239,gel
240,gez
241,ges
242,gex
243,gi
244,gim
245,gin
246,gins
247,gir
248,gil
249,giz
250,gis
251,gix
252,go
253,gom
254,gon
255,gons
256,gor
257,gol
258,goz
259,gos
260,gox
261,gu
262,gum
263,gun
264,guns
265,gur
266,gul
267,guz
268,gus
269,gux
270,pa
271,pam
272,pan
273,pans
274,par
275,pal
276,paz
277,pas
278,pax
279,pe
280,pem
281,pen
282,pens
283,per
284,pel
285,pez
286,pes
287,pex
288,pi
289,pim
290,pin
291,pins
292,pir
293,pil
294,piz
295,pis
296,pix
297,po
298,pom
299,pon
300,pons
301,por
302,pol
303,poz
304,pos
305,pox
306,pu
307,pum
308,pun
309,puns
310,pur
311,pul
312,puz
313,pus
314,pux
315,ta
316,tam
317,tan
318,tans
319,tar
320,tal
321,taz
322,tas
323,tax
324,te
325,tem
326,ten
327,tens
328,ter
329,tel
330,tez
331,tes
332,tex
333,ti
334,tim
335,tin
336,tins
337,tir
338,til
339,tiz
340,tis
341,tix
342,to
343,tom
344,ton
345,tons
346,tor
347,tol
348,toz
349,tos
350,tox
351,tu
352,tum
353,tun
354,tuns
355,tur
356,tul
357,tuz
358,tus
359,tux
360,la
361,lam
362,lan
363,lans
364,lar
365,lal
366,laz
367,las
368,lax
369,le
370,lem
371,len
372,lens
373,ler
374,lel
375,lez
376,les
377,lex
378,li
379,lim
380,lin
381,lins
382,lir
383,lil
384,liz
385,lis
386,lix
387,lo
388,lom
389,lon
390,lons
391,lor
392,lol
393,loz
394,los
395,lox
396,lu
397,lum
398,lun
399,luns
400,lur
401,lul
402,luz
403,lus
404,lux
405,ra
406,ram
407,ran
408,rans
409,rar
410,ral
411,raz
412,ras
413,rax
414,re
415,rem
416,ren
417,rens
418,rer
419,rel
420,rez
421,res
422,rex
423,ri
424,rim
425,rin
426,rins
427,rir
428,ril
429,riz
430,ris
431,rix
432,ro
433,rom
434,ron
435,rons
436,ror
437,rol
438,roz
439,ros
440,rox
441,ru
442,rum
443,run
444,runs
445,rur
446,rul
447,ruz
448,rus
449,rux
450,ha
451,ham
452,han
453,hans
454,har
455,hal
456,haz
457,has
458,hax
459,he
460,hem
461,hen
462,hens
463,her
464,hel
465,hez
466,hes
467,hex
468,hi
469,him
470,hin
471,hins
472,hir
473,hil
474,hiz
475,his
476,hix
477,ho
478,hom
479,hon
480,hons
481,hor
482,hol
483,hoz
484,hos
485,hox
486,hu
487,hum
488,hun
489,huns
490,hur
491,hul
492,huz
493,hus
494,hux
495,ja
496,jam
497,jan
498,jans
499,jar
500,jal
501,jaz
502,jas
503,jax
504,je
505,jem
506,jen
507,jens
508,jer
509,jel
510,jez
511,jes
512,jex
513,ji
514,jim
515,jin
516,jins
517,jir
518,jil
519,jiz
520,jis
521,jix
522,jo
523,jom
524,jon
525,jons
526,jor
527,jol
528,joz
529,jos
530,jox
531,ju
532,jum
533,jun
534,juns
535,jur
536,jul
537,juz
538,jus
539,jux
540,ma
541,mam
542,man
543,mans
544,mar
545,mal
546,maz
547,mas
548,max
549,me
550,mem
551,men
552,mens
553,mer
554,mel
555,mez
556,mes
557,mex
558,mi
559,mim
560,min
561,mins
562,mir
563,mil
564,miz
565,mis
566,mix
567,mo
568,mom
569,mon
570,mons
571,mor
572,mol
573,moz
574,mos
575,mox
576,mu
577,mum
578,mun
579,muns
580,mur
581,mul
582,muz
583,mus
584,mux
585,na
586,nam
587,nan
588,nans
589,nar
590,nal
591,naz
592,nas
593,nax
594,ne
595,nem
596,nen
597,nens
598,ner
599,nel
600,nez
601,nes
602,nex
603,ni
604,nim
605,nin
606,nins
607,nir
608,nil
609,niz
610,nis
611,nix
612,no
613,nom
614,non
615,nons
616,nor
617,nol
618,noz
619,nos
620,nox
621,nu
622,num
623,nun
624,nuns
625,nur
626,nul
627,nuz
628,nus
629,nux
630,ra
631,ram
632,ran
633,rans
634,rar
635,ral
636,raz
637,ras
638,rax
639,re
640,rem
641,ren
642,rens
643,rer
644,rel
645,rez
646,res
647,rex
648,ri
649,rim
650,rin
651,rins
652,rir
653,ril
654,riz
655,ris
656,rix
657,ro
658,rom
659,ron
660,rons
661,ror
662,rol
663,roz
664,ros
665,rox
666,ru
667,rum
668,run
669,runs
670,rur
671,rul
672,ruz
673,rus
674,rux
675,la
676,lam
677,lan
678,lans
679,lar
680,lal
681,laz
682,las
683,lax
684,le
685,lem
686,len
687,lens
688,ler
689,lel
690,lez
691,les
692,lex
693,li
694,lim
695,lin
696,lins
697,lir
698,lil
699,liz
700,lis
701,lix
702,lo
703,lom
704,lon
705,lons
706,lor
707,lol
708,loz
709,los
710,lox
711,lu
712,lum
713,lun
714,luns
715,lur
716,lul
717,luz
718,lus
719,lux
720,sa
721,sam
722,san
723,sans
724,sar
725,sal
726,saz
727,sas
728,sax
729,se
730,sem
731,sen
732,sens
733,ser
734,sel
735,sez
736,ses
737,sex
738,si
739,sim
740,sin
741,sins
742,sir
743,sil
744,siz
745,sis
746,six
747,so
748,som
749,son
750,sons
751,sor
752,sol
753,soz
754,sos
755,sox
756,su
757,sum
758,sun
759,suns
760,sur
761,sul
762,suz
763,sus
764,sux
765,va
766,vam
767,van
768,vans
769,var
770,val
771,vaz
772,vas
773,vax
774,ve
775,vem
776,ven
777,vens
778,ver
779,vel
780,vez
781,ves
782,vex
783,vi
784,vim
785,vin
786,vins
787,vir
788,vil
789,viz
790,vis
791,vix
792,vo
793,vom
794,von
795,vons
796,vor
797,vol
798,voz
799,vos
800,vox
801,vu
802,vum
803,vun
804,vuns
805,vur
806,vul
807,vuz
808,vus
809,vux
810,xa
811,xam
812,xan
813,xans
814,xar
815,xal
816,xaz
817,xas
818,xax
819,xe
820,xem
821,xen
822,xens
823,xer
824,xel
825,xez
826,xes
827,xex
828,xi
829,xim
830,xin
831,xins
832,xir
833,xil
834,xiz
835,xis
836,xix
837,xo
838,xom
839,xon
840,xons
841,xor
842,xol
843,xoz
844,xos
845,xox
846,xu
847,xum
848,xun
849,xuns
850,xur
851,xul
852,xuz
853,xus
854,xux
855,za
856,zam
857,zan
858,zans
859,zar
860,zal
861,zaz
862,zas
863,zax
864,ze
865,zem
866,zen
867,zens
868,zer
869,zel
870,zez
871,zes
872,zex
873,zi
874,zim
875,zin
876,zins
877,zir
878,zil
879,ziz
880,zis
881,zix
882,zo
883,zom
884,zon
885,zons
886,zor
887,zol
888,zoz
889,zos
890,zox
891,zu
892,zum
893,zun
894,zuns
895,zur
896,zul
897,zuz
898,zus
899,zux
900,lha
901,lham
902,lhan
903,lhans
904,lhar
905,lhal
906,lhaz
907,lhas
908,lhax
909,lhe
910,lhem
911,lhen
912,lhens
913,lher
914,lhel
915,lhez
916,lhes
917,lhex
918,lhi
919,lhim
920,lhin
921,lhins
922,lhir
923,lhil
924,lhiz
925,lhis
926,lhix
927,lho
928,lhom
929,lhon
930,lhons
931,lhor
932,lhol
933,lhoz
934,lhos
935,lhox
936,lhu
937,lhum
938,lhun
939,lhuns
940,lhur
941,lhul
942,lhuz
943,lhus
944,lhux
945,nha
946,nham
947,nhan
948,nhans
949,nhar
950,nhal
951,nhaz
952,nhas
953,nhax
954,nhe
955,nhem
956,nhen
957,nhens
958,nher
959,nhel
960,nhez
961,nhes
962,nhex
963,nhi
964,nhim
965,nhin
966,nhins
967,nhir
968,nhil
969,nhiz
970,nhis
971,nhix
972,nho
973,nhom
974,nhon
975,nhons
976,nhor
977,nhol
978,nhoz
979,nhos
980,nhox
981,nhu
982,nhum
983,nhun
984,nhuns
985,nhur
986,nhul
987,nhuz
988,nhus
989,nhux
990,qua
991,quam
992,quan
993,quans
994,quar
995,qual
996,quaz
997,quas
998,quax
999,que
1000,quem
1001,quen
1002,quens
1003,quer
1004,quel
1005,quez
1006,ques
1007,quex
1008,qui
1009,quim
1010,quin
1011,quins
1012,quir
1013,quil
1014,quiz
1015,quis
1016,quix
1017,quo
1018,quom
1019,quon
1020,quons
1021,quor
1022,quol
1023,quoz
1024,quos
1025,quox
1026,quu
1027,quum
1028,quun
1029,quuns
1030,quur
1031,quul
1032,quuz
1033,quus
1034,quux
1035,gua
1036,guam
1037,guan
1038,guans
1039,guar
1040,gual
1041,guaz
1042,guas
1043,guax
1044,gue
1045,guem
1046,guen
1047,guens
1048,guer
1049,guel
1050,guez
1051,gues
1052,guex
1053,gui
1054,guim
1055,guin
1056,guins
1057,guir
1058,guil
1059,guiz
1060,guis
1061,guix
1062,guo
1063,guom
1064,guon
1065,guons
1066,guor
1067,guol
1068,guoz
1069,guos
1070,guox
1071,guu
1072,guum
1073,guun
1074,guuns
1075,guur
1076,guul
1077,guuz
1078,guus
1079,guux
1080,cla
1081,clam
1082,clan
1083,clans
1084,clar
1085,clal
1086,claz
1087,clas
1088,clax
1089,cle
1090,clem
1091,clen
1092,clens
1093,cler
1094,clel
1095,clez
1096,cles
1097,clex
1098,cli
1099,clim
1100,clin
1101,clins
1102,clir
1103,clil
1104,cliz
1105,clis
1106,clix
1107,clo
1108,clom
1109,clon
1110,clons
1111,clor
1112,clol
1113,cloz
1114,clos
1115,clox
1116,clu
1117,clum
1118,clun
1119,cluns
1120,clur
1121,clul
1122,cluz
1123,clus
1124,clux
1125,cha
1126,cham
1127,chan
1128,chans
1129,char
1130,chal
1131,chaz
1132,chas
1133,chax
1134,che
1135,chem
1136,chen
1137,chens
1138,cher
1139,chel
1140,chez
1141,ches
1142,chex
1143,chi
1144,chim
1145,chin
1146,chins
1147,chir
1148,chil
1149,chiz
1150,chis
1151,chix
1152,cho
1153,chom
1154,chon
1155,chons
1156,chor
1157,chol
1158,choz
1159,chos
1160,chox
1161,chu
1162,chum
1163,chun
1164,chuns
1165,chur
1166,chul
1167,chuz
1168,chus
1169,chux
